rtt,bw,loss,buf,bbrv2,bbrv3,cubic,cubicvsbbrv2,cubicvsbbrv3,cubicvscubic,v3ImprovPcnt,v2Harm,v3Harm,cubicHarm
10,100,0,0.1bdp,13.990276,14.070977,11.100265,4.830068,3.900447,5.221569,0.576840,0.564869,0.648617,0.529600
10,100,0,10bdp,94.281072,93.607721,95.627709,85.092473,47.407177,41.929257,-0.714196,0.110169,0.504253,0.561537
10,100,0,1bdp,91.284608,94.100002,94.952563,66.653816,35.965077,48.091233,3.084193,0.298030,0.621231,0.493524
10,100,2,0.1bdp,9.499448,10.887154,5.808728,4.215002,3.729217,4.550559,14.608279,0.274368,0.357998,0.216600
10,100,2,10bdp,10.446534,16.971652,5.941440,6.843221,6.210536,6.091620,62.462028,-0.151778,-0.045291,-0.025277
10,100,2,1bdp,10.523624,15.392464,5.917296,6.794386,6.200244,6.151358,46.265814,-0.148225,-0.047817,-0.039556
10,500,0,0.1bdp,60.224306,62.884706,33.269758,28.867018,23.667843,17.451075,4.417485,0.132335,0.288608,0.475467
10,500,0,10bdp,463.531158,458.129095,478.050447,266.069354,257.626522,239.255881,-1.165415,0.443428,0.461089,0.499518
10,500,0,1bdp,454.826876,454.424289,477.572869,358.104518,90.118725,238.561454,-0.088514,0.250157,0.811298,0.500471
10,500,2,0.1bdp,9.806840,14.928003,6.430569,6.916670,6.305266,6.504200,52.220327,-0.075592,0.019486,-0.011450
10,500,2,10bdp,12.358381,18.574047,6.647476,6.895894,6.388465,6.546428,50.295154,-0.037370,0.038964,0.015201
10,500,2,1bdp,11.047894,15.514877,6.458873,6.951704,6.123476,6.416930,40.432888,-0.076303,0.051928,0.006494
50,100,0,0.1bdp,15.463486,16.078305,13.925549,3.341174,5.689098,7.034475,3.975941,0.760069,0.591463,0.494851
50,100,0,10bdp,92.783739,93.698704,95.597089,57.291892,54.242817,47.743555,0.986127,0.400694,0.432589,0.500575
50,100,0,1bdp,92.623714,93.436596,95.542983,58.025300,17.773235,39.496219,0.877617,0.392679,0.813977,0.586613
50,100,2,0.1bdp,3.795078,5.105422,1.443215,1.548085,1.453717,1.478179,34.527460,-0.072665,-0.007277,-0.024227
50,100,2,10bdp,6.125692,9.218437,1.513054,1.551586,1.499207,1.443246,50.488109,-0.025466,0.009151,0.046137
50,100,2,1bdp,7.887984,7.254623,1.429256,1.481794,1.481674,1.457207,-8.029434,-0.036759,-0.036675,-0.019556
50,500,0,0.1bdp,78.734165,79.204932,44.918159,14.845715,12.873734,22.645784,0.597920,0.669494,0.713396,0.495843
50,500,0,10bdp,401.473586,407.540114,408.999312,242.968391,242.840590,238.832515,1.511065,0.405944,0.406257,0.416056
50,500,0,1bdp,398.215350,406.783409,408.754388,291.743195,171.923303,235.969676,2.151615,0.286263,0.579397,0.422710
50,500,2,0.1bdp,7.188241,13.296604,1.589894,1.533900,1.502653,1.555100,84.977164,0.035219,0.054872,0.021885
50,500,2,10bdp,8.320438,12.311354,1.600500,1.572554,1.443259,1.623561,47.965219,0.017461,0.098245,-0.014408
50,500,2,1bdp,6.412440,7.667054,1.565550,1.593507,1.509647,1.593497,19.565318,-0.017857,0.035708,-0.017851
100,100,0,0.1bdp,16.260905,16.668250,14.094129,3.242394,3.892306,7.291782,2.505056,0.769947,0.723835,0.482637
100,100,0,10bdp,92.715971,93.209842,95.413666,48.500957,52.556104,47.718192,0.532671,0.491677,0.449176,0.499881
100,100,0,1bdp,92.271823,92.822405,95.393132,68.744436,9.706311,49.716468,0.596696,0.279357,0.898249,0.478825
100,100,2,0.1bdp,3.354173,3.762270,0.789646,0.842039,0.852541,0.789647,12.166826,-0.066349,-0.079650,-0.000001
100,100,2,10bdp,5.506492,5.737045,0.814038,0.894455,0.807108,0.800170,4.186932,-0.098787,0.008513,0.017036
100,100,2,1bdp,8.508056,4.668012,0.835071,0.904947,0.824484,0.803624,-45.134206,-0.083678,0.012678,0.037658
100,500,0,0.1bdp,82.178658,82.080876,43.360099,5.223514,5.639310,25.837843,-0.118988,0.879532,0.869942,0.404110
100,500,0,10bdp,204.697311,208.371676,207.131630,206.979307,210.711280,207.998973,1.795024,0.000735,-0.017282,-0.004187
100,500,0,1bdp,204.796424,208.092256,207.128437,207.230811,210.770193,207.899709,1.609321,-0.000494,-0.017582,-0.003724
100,500,2,0.1bdp,9.199626,8.116479,0.856021,0.838557,0.863007,0.859520,-11.773819,0.020401,-0.008161,-0.004087
100,500,2,10bdp,4.398773,4.157892,0.866422,0.845533,0.793136,0.807156,-5.476081,0.024109,0.084584,0.068403
100,500,2,1bdp,12.732320,3.406783,0.803651,0.817599,0.817614,0.852545,-73.243032,-0.017356,-0.017374,-0.060840
